Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Packet_Count,Flow_Duration,Packet_Interarrival_Time,TCP_Flags,Bytes_Sent,Bytes_Received,Traffic_Direction,Connection_State,Packet_Drop_Rate,Malformed_Packet_Count,Avg_Time_Between_Packets,Total_Flow_Count,Device_Type,Device_Manufacturer,OS_Version,CPU_Usage,Memory_Usage_MB,Energy_Consumption_Watts,Firmware_Version,Device_Uptime_Hours,Payload_Size_Bytes,Payload_Entropy,Payload_Content_Type,Signature_Match,Compressed_Encrypted_Flag,Content_Type_File_Transferred,Flow_Count_Per_Time_Window,Avg_Packet_Size_Bytes,Packet_Rate_Packets_Per_Second,Std_Dev_Packet_Size,Min_Packet_Size,Max_Packet_Size,Protocol_Distribution_TCP_Percent,Protocol_Distribution_UDP_Percent,Protocol_Distribution_ICMP_Percent,Session_Duration,Active_Time_Periods,Avg_Time_Between_Requests,Time_Of_Day,Day_Of_Week,Malware_Type,Attack_Vector,Source_Geolocation_Latitude,Source_Geolocation_Longitude,Destination_Geolocation_Latitude,Destination_Geolocation_Longitude,DNS_Query_Count,Suspicious_Domain_Query_Flag,File_Transfer_Occurred,File_Size_Bytes,Anomalous_Behavior_Flag,External_IP_Accessed_Flag,Label
192.168.0.184,10.0.0.3,27500,2402,UDP,3747.094704,601.6519326,17.68741556,16.25024346,ACK,1251.447784,525.2474164,Ingress,SYN-Sent,0.161719852,3.233200334,19.92965811,53.21593155,Thermostat,VendorB,v1.0,46.92093385,65.85277968,13.09605178,2.1,473.8041118,1100.869902,1.386438922,Binary,0,1,Binary,16.83295512,2067.55296,31.33616478,55.5486336,806,30609,0.066503607,0.123158728,0.147208664,345.5977181,276.7898276,0.740546382,19,1,None,None,-31.81332023,118.8434759,20.66780805,-86.92249081,3.827689967,0,0,2658.689333,1,1,0
192.168.0.240,10.0.0.115,31104,57745,UDP,331.7107837,220.3961515,1.901208763,81.44267437,SYN,3127.397778,808.6462185,Ingress,Established,0.039722548,0.690753088,10.37619285,283.4869138,Smart Camera,VendorB,v3.5,11.52766866,55.11151856,90.84397974,3.2,846.4574617,85.0004033,1.493878467,ASCII,1,1,JS,68.82777842,2380.187001,70.70852141,195.3201133,683,6156,0.746628779,0.051111182,0.218269988,395.1659091,163.5298287,111.1974461,22,6,Ransomware,File Download,84.6728251,-131.5206516,48.69313817,26.11071386,6.479635152,0,1,893.7792319,0,1,1
192.168.0.152,10.0.0.231,60405,9269,UDP,3007.719558,266.5774327,516.3066488,122.0239256,ACK,21987.59506,1130.936938,Egress,Established,0.035253272,1.593464624,30.68039951,1.482815218,Smart Camera,VendorB,v2.1,206.2733376,60.15254352,2.586653323,2.1,706.3803012,89.28729154,7.224651628,Binary,0,1,HTML,7.281402681,4320.042824,60.28059592,94.53266273,752,37650,0.306549922,0.050396854,0.071759989,1810.943341,2.774572558,129.2447783,17,3,DDoS,Network,-88.24875976,-126.0740297,74.82761212,77.12835347,3.243761593,0,1,9076.788071,1,1,1
192.168.0.59,10.0.0.194,62183,29223,TCP,124.290757,162.0337847,13.5665454,36.91195862,SYN,3237.689389,12168.57477,Egress,SYN-Sent,0.055357381,0.824107922,19.38049113,155.2625369,Smart Bulb,VendorB,v3.5,18.08436347,2.488198795,36.9677037,2.1,11.10850936,1509.195397,4.502529736,ASCII,1,1,HTML,13.11368515,964.9107873,14.48523393,109.310945,414,62402,0.001647696,0.069890809,1.229920876,2961.352076,70.44554485,36.47278149,8,6,None,None,-12.96780347,-55.34287364,-9.69692208,-33.47304644,0.153395593,1,0,10169.66111,1,1,0
192.168.0.179,10.0.0.220,18444,3109,TCP,609.4836602,344.3717041,275.2128253,70.40759609,ACK,9034.21538,1908.987082,Ingress,Established,0.045113621,0.236979202,29.99917931,14.25421409,Smart Bulb,VendorA,v1.0,21.47262431,480.1551507,87.7466365,2.1,3029.595624,832.3211216,1.941434463,ASCII,0,1,Binary,96.24502488,1115.907372,6.496500078,22.48150362,932,45419,0.198183578,0.030367379,0.147689457,564.3913265,18.62100075,16.25755703,14,4,None,None,15.31665088,32.30092896,-42.31304309,16.41774716,2.246588782,1,1,1400.843414,0,0,0
192.168.0.175,10.0.0.239,57617,54681,ICMP,68.95078742,405.5726818,27.66005309,108.8296916,SYN,19144.0464,12960.55901,Ingress,SYN-Sent,0.086399352,0.183702951,33.73788104,53.22051579,Smart Bulb,VendorB,v2.1,0.149903206,373.6890929,68.74763713,2.1,373.2011324,94.21332724,0.285706707,ASCII,0,1,Binary,38.6267308,2209.672832,62.20791554,140.2882087,1021,49642,0.227081904,0.122614749,0.00530557,2090.562893,6.067598541,27.25402835,12,1,None,None,-61.70176328,-135.5756092,-22.98517004,-123.4388395,15.67206425,0,0,2860.471114,0,0,0
192.168.0.188,10.0.0.118,35928,45581,TCP,189.1624447,113.5445818,90.47871168,79.65021089,FIN,20766.15804,2503.405489,Ingress,SYN-Sent,0.023990355,0.04829055,44.44954296,14.02605336,Smart Bulb,VendorB,v2.1,77.91094049,1054.945912,45.42963419,3.2,1068.011679,508.1645986,18.89857729,Binary,0,1,Binary,49.67861225,407.3702285,10.83298458,415.1639176,429,23010,1.165969612,0.257414079,0.213100876,232.9501312,66.13403978,18.52466887,17,1,None,None,89.33483678,-141.9132662,51.40026153,-159.3946453,5.214137222,1,0,6205.358839,1,1,0
192.168.0.28,10.0.0.94,17600,24933,TCP,1356.433227,427.4486903,175.8685251,32.25882215,SYN,8384.45318,25080.01015,Ingress,SYN-Sent,0.074512238,0.003749252,13.85736409,2.166110903,Smart Camera,VendorB,v2.1,92.59105182,351.2595446,62.86183019,1,884.2272257,1352.435244,14.23354107,ASCII,1,1,Binary,35.31381396,1768.614524,111.6699581,30.59542138,1163,4812,0.501810507,1.350430239,0.131164216,64.63274951,6.257205459,5.122002954,9,2,Ransomware,Network,44.26431257,114.905746,-54.80651749,167.4669072,1.57404334,0,1,165.2366593,0,1,1
192.168.0.221,10.0.0.93,28451,42228,TCP,894.9695475,370.0485173,23.06918094,23.3201504,SYN,3500.916935,7217.416179,Ingress,Established,0.004702964,0.567135878,3.074288852,6.231803216,Smart Camera,VendorC,v3.5,15.51683034,349.1616486,21.54379051,2.1,279.9148614,174.6789983,2.050857005,ASCII,0,1,HTML,35.15558426,124.4423953,128.3765928,15.05592436,972,58676,0.560984308,0.781659689,0.128731781,3057.425852,5.003345982,5.061869342,16,6,DDoS,Physical,8.99374828,-68.98482977,15.27036246,61.82785562,4.696426462,1,0,80.50172975,1,0,1
192.168.0.228,10.0.0.187,9250,33917,TCP,217.660501,515.9003135,211.0008942,18.46550526,SYN,12993.80807,6997.96517,Egress,SYN-Sent,0.03806512,0.948553192,10.5325578,36.92490038,Thermostat,VendorC,v1.0,3.484940651,1237.747857,88.63784037,2.1,1961.298399,1159.59303,2.201109195,Binary,0,1,Binary,5.617424091,1013.666068,16.94711652,78.20627235,1243,39811,0.754459961,0.144291732,0.118493848,564.6596336,59.87806114,22.83217872,6,5,Botnet,File Download,-43.63810592,-156.5932592,24.86569481,-119.3070986,0.4989582,1,1,4261.755247,1,1,1
